"identifier" "study_id" "species" "duration" "dose" "dose_interval" "target_organ" "description" "adverse" "reversible" "extra_info"
"216" "Compound 12" "Study 54" "cynomolgus" 52 "0.29999999999999999" "day" "axilla" "white adipose tissue" "no" "NA" "NA"
"217" "Compound 12" "Study 54" "cynomolgus" 52 "3" "day" "axilla" "white adipose tissue" "no" "NA" "NA"
"218" "Compound 12" "Study 54" "cynomolgus" 52 "10" "day" "axilla" "white adipose tissue" "no" "NA" "NA"
"219" "Compound 12" "Study 54" "cynomolgus" 52 "0.29999999999999999" "day" "shoulder" "white adipose tissue" "no" "NA" "NA"
"220" "Compound 12" "Study 54" "cynomolgus" 52 "3" "day" "shoulder" "white adipose tissue" "no" "NA" "NA"
"221" "Compound 12" "Study 54" "cynomolgus" 52 "10" "day" "shoulder" "white adipose tissue" "no" "NA" "NA"
"222" "Compound 12" "Study 54" "cynomolgus" 52 "0.29999999999999999" "day" "retroperitoneum" "perirenal white adipose tissue" "no" "NA" "NA"
"223" "Compound 12" "Study 54" "cynomolgus" 52 "3" "day" "retroperitoneum" "perirenal white adipose tissue" "no" "NA" "NA"
"224" "Compound 12" "Study 54" "cynomolgus" 52 "10" "day" "retroperitoneum" "perirenal white adipose tissue" "no" "NA" "NA"
"225" "Compound 12" "Study 54" "cynomolgus" 52 "3" "day" "kidney" "glomerulopathy" "yes" "NA" "NA"
"226" "Compound 12" "Study 54" "cynomolgus" 52 "10" "day" "kidney" "glomerulopathy" "yes" "NA" "NA"
"227" "Compound 12" "Study 54" "cynomolgus" 52 "0.29999999999999999" "day" "liver" "extramedullary hematopoiesis" "no" "NA" "NA"
"228" "Compound 12" "Study 54" "cynomolgus" 52 "3" "day" "liver" "extramedullary hematopoiesis" "no" "NA" "NA"
"229" "Compound 12" "Study 54" "cynomolgus" 52 "10" "day" "liver" "extramedullary hematopoiesis" "no" "NA" "NA"
"230" "Compound 12" "Study 55" "cynomolgus" 52 "0.14999999999999999" "day" "adrenal gland" "adipocyte accumulation" "no" "nr" "NA"
"231" "Compound 12" "Study 55" "cynomolgus" 52 "0.40000000000000002" "day" "adrenal gland" "adipocyte accumulation" "yes" "nr" "NA"
"232" "Compound 12" "Study 55" "cynomolgus" 52 "1.5" "day" "adrenal gland" "adipocyte accumulation" "yes" "nr" "NA"
"233" "Compound 12" "Study 55" "cynomolgus" 52 "5" "day" "adrenal gland" "adipocyte accumulation" "yes" "nr" "NA"
"234" "Compound 12" "Study 55" "cynomolgus" 52 "0.14999999999999999" "day" "thyroid gland" "adipocyte accumulation" "no" "nr" "NA"
"235" "Compound 12" "Study 55" "cynomolgus" 52 "0.40000000000000002" "day" "thyroid gland" "adipocyte accumulation" "yes" "nr" "NA"
"236" "Compound 12" "Study 55" "cynomolgus" 52 "1.5" "day" "thyroid gland" "adipocyte accumulation" "yes" "nr" "NA"
"237" "Compound 12" "Study 55" "cynomolgus" 52 "5" "day" "thyroid gland" "adipocyte accumulation" "yes" "nr" "NA"
"238" "Compound 12" "Study 55" "cynomolgus" 52 "0.14999999999999999" "day" "parathyroid gland" "adipocyte accumulation" "no" "nr" "NA"
"239" "Compound 12" "Study 55" "cynomolgus" 52 "0.40000000000000002" "day" "parathyroid gland" "adipocyte accumulation" "yes" "nr" "NA"
"240" "Compound 12" "Study 55" "cynomolgus" 52 "1.5" "day" "parathyroid gland" "adipocyte accumulation" "yes" "nr" "NA"
"241" "Compound 12" "Study 55" "cynomolgus" 52 "5" "day" "parathyroid gland" "adipocyte accumulation" "yes" "nr" "NA"
"242" "Compound 12" "Study 55" "cynomolgus" 52 "0.14999999999999999" "day" "heart" "adipocyte accumulation" "no" "nr" "NA"
"243" "Compound 12" "Study 55" "cynomolgus" 52 "0.40000000000000002" "day" "heart" "adipocyte accumulation" "yes" "nr" "NA"
"244" "Compound 12" "Study 55" "cynomolgus" 52 "1.5" "day" "heart" "adipocyte accumulation" "yes" "nr" "NA"
"245" "Compound 12" "Study 55" "cynomolgus" 52 "5" "day" "heart" "adipocyte accumulation" "yes" "nr" "NA"
"246" "Compound 12" "Study 55" "cynomolgus" 52 "0.14999999999999999" "day" "skin" "adipocyte accumulation" "no" "r" "NA"
"247" "Compound 12" "Study 55" "cynomolgus" 52 "0.40000000000000002" "day" "skin" "adipocyte accumulation" "yes" "r" "NA"
"248" "Compound 12" "Study 55" "cynomolgus" 52 "1.5" "day" "skin" "adipocyte accumulation" "yes" "r" "NA"
"249" "Compound 12" "Study 55" "cynomolgus" 52 "5" "day" "skin" "adipocyte accumulation" "yes" "r" "NA"
"250" "Compound 12" "Study 55" "cynomolgus" 52 "0.14999999999999999" "day" "bone marrow" "adipocyte accumulation" "no" "r" "NA"
"251" "Compound 12" "Study 55" "cynomolgus" 52 "0.40000000000000002" "day" "bone marrow" "adipocyte accumulation" "yes" "r" "NA"
"252" "Compound 12" "Study 55" "cynomolgus" 52 "1.5" "day" "bone marrow" "adipocyte accumulation" "yes" "r" "NA"
"253" "Compound 12" "Study 55" "cynomolgus" 52 "5" "day" "bone marrow" "adipocyte accumulation" "yes" "r" "NA"
"254" "Compound 12" "Study 55" "cynomolgus" 52 "0.14999999999999999" "day" "submandibular lymph node" "adipocyte accumulation" "no" "nr" "NA"
"255" "Compound 12" "Study 55" "cynomolgus" 52 "0.40000000000000002" "day" "submandibular lymph node" "adipocyte accumulation" "yes" "nr" "NA"
"256" "Compound 12" "Study 55" "cynomolgus" 52 "1.5" "day" "submandibular lymph node" "adipocyte accumulation" "yes" "nr" "NA"
"257" "Compound 12" "Study 55" "cynomolgus" 52 "5" "day" "submandibular lymph node" "adipocyte accumulation" "yes" "nr" "NA"
"258" "Compound 12" "Study 55" "cynomolgus" 52 "0.14999999999999999" "day" "parotid gland" "adipocyte accumulation" "no" "r" "NA"
"259" "Compound 12" "Study 55" "cynomolgus" 52 "0.40000000000000002" "day" "parotid gland" "adipocyte accumulation" "yes" "r" "NA"
"260" "Compound 12" "Study 55" "cynomolgus" 52 "1.5" "day" "parotid gland" "adipocyte accumulation" "yes" "nr" "NA"
"261" "Compound 12" "Study 55" "cynomolgus" 52 "5" "day" "parotid gland" "adipocyte accumulation" "yes" "nr" "NA"
"262" "Compound 12" "Study 55" "cynomolgus" 52 "0.14999999999999999" "day" "submandibular gland" "adipocyte accumulation" "no" "r" "NA"
"263" "Compound 12" "Study 55" "cynomolgus" 52 "0.40000000000000002" "day" "submandibular gland" "adipocyte accumulation" "yes" "r" "NA"
"264" "Compound 12" "Study 55" "cynomolgus" 52 "1.5" "day" "submandibular gland" "adipocyte accumulation" "yes" "nr" "NA"
"265" "Compound 12" "Study 55" "cynomolgus" 52 "5" "day" "submandibular gland" "adipocyte accumulation" "yes" "nr" "NA"
"266" "Compound 12" "Study 55" "cynomolgus" 52 "0.14999999999999999" "day" "axilla" "brown adipose tissue changes" "no" "nr" "NA"
"267" "Compound 12" "Study 55" "cynomolgus" 52 "0.40000000000000002" "day" "axilla" "brown adipose tissue changes" "yes" "r" "NA"
"268" "Compound 12" "Study 55" "cynomolgus" 52 "1.5" "day" "axilla" "brown adipose tissue changes" "yes" "r" "NA"
"269" "Compound 12" "Study 55" "cynomolgus" 52 "5" "day" "axilla" "brown adipose tissue changes" "yes" "nr" "NA"
"270" "Compound 12" "Study 55" "cynomolgus" 52 "0.40000000000000002" "day" "kidney" "glomerulopathy" "yes" "nr" "NA"
"271" "Compound 12" "Study 55" "cynomolgus" 52 "1.5" "day" "kidney" "glomerulopathy" "yes" "r" "NA"
"272" "Compound 12" "Study 55" "cynomolgus" 52 "5" "day" "kidney" "glomerulopathy" "yes" "nr" "NA"
"273" "Compound 12" "Study 55" "cynomolgus" 52 "1.5" "day" "heart" "interstitial expansion" "yes" "r" "NA"
"274" "Compound 12" "Study 55" "cynomolgus" 52 "5" "day" "heart" "interstitial expansion" "yes" "r" "NA"
"275" "Compound 12" "Study 55" "cynomolgus" 52 "1.5" "day" "thyroid gland" "follicular distension" "yes" "r" "NA"
"276" "Compound 12" "Study 55" "cynomolgus" 52 "5" "day" "thyroid gland" "follicular distension" "yes" "r" "NA"
"277" "Compound 12" "Study 55" "cynomolgus" 52 "0.40000000000000002" "day" "liver" "decreased hematopoiesis , lipid accumulation" "yes" "r" "NA"
"278" "Compound 12" "Study 55" "cynomolgus" 52 "1.5" "day" "liver" "decreased hematopoiesis ,lipid accumulation, extramedullary hematopoiesis" "yes" "r" "NA"
"279" "Compound 12" "Study 55" "cynomolgus" 52 "5" "day" "liver" "decreased hematopoiesis ,lipid accumulation, extramedullary hematopoiesis" "yes" "r" "NA"
"280" "Compound 12" "Study 56" "rat" 26 "20" "day" "heart" "distension,hypertrophy, cardiomyopathy,brown adipose tissue changes,white adipose tissue changes" "yes" "NA" "NA"
"281" "Compound 12" "Study 56" "rat" 26 "80/40" "day" "heart" "distension, hypertrophy, cardiomyopathy,brown adipose tissue changes,white adipose tissue changes" "yes" "NA" "NA"
"282" "Compound 12" "Study 56" "rat" 26 "4" "day" "heart" "brown adipose tissue changes,white adipose tissue changes" "yes" "NA" "NA"
"283" "Compound 12" "Study 56" "rat" 26 "0.5" "day" "heart" "brown adipose tissue changes" "no" "NA" "NA"
"284" "Compound 12" "Study 56" "rat" 26 "0.5" "day" "bone marrow" "enlarged adipocytes, adipocyte accumulation" "no" "NA" "NA"
"285" "Compound 12" "Study 56" "rat" 26 "4" "day" "bone marrow" "enlarged adipocytes, adipocyte accumulation" "yes" "NA" "NA"
"286" "Compound 12" "Study 56" "rat" 26 "20" "day" "bone marrow" "enlarged adipocytes, adipocyte accumulation" "yes" "NA" "NA"
"287" "Compound 12" "Study 56" "rat" 26 "80/40" "day" "bone marrow" "enlarged adipocytes, adipocyte accumulation" "yes" "NA" "NA"
"288" "Compound 12" "Study 56" "rat" 26 "0.5" "day" "parotid gland" "enlarged adipocytes, adipocyte accumulation" "no" "NA" "NA"
"289" "Compound 12" "Study 56" "rat" 26 "4" "day" "parotid gland" "enlarged adipocytes, adipocyte accumulation" "yes" "NA" "NA"
"290" "Compound 12" "Study 56" "rat" 26 "20" "day" "parotid gland" "enlarged adipocytes, adipocyte accumulation" "yes" "NA" "NA"
"291" "Compound 12" "Study 56" "rat" 26 "80/40" "day" "parotid gland" "enlarged adipocytes, adipocyte accumulation" "yes" "NA" "NA"
"292" "Compound 12" "Study 56" "rat" 26 "4" "day" "pancreas" "enlarged adipocytes, adipocyte accumulation" "yes" "NA" "NA"
"293" "Compound 12" "Study 56" "rat" 26 "20" "day" "pancreas" "enlarged adipocytes, adipocyte accumulation" "yes" "NA" "NA"
"294" "Compound 12" "Study 56" "rat" 26 "80/40" "day" "pancreas" "enlarged adipocytes, adipocyte accumulation" "yes" "NA" "NA"
"295" "Compound 12" "Study 56" "rat" 26 "4" "day" "mammary gland" "enlarged adipocytes, adipocyte accumulation" "yes" "NA" "NA"
"296" "Compound 12" "Study 56" "rat" 26 "20" "day" "mammary gland" "enlarged adipocytes, adipocyte accumulation" "yes" "NA" "NA"
"297" "Compound 12" "Study 56" "rat" 26 "80/40" "day" "mammary gland" "enlarged adipocytes, adipocyte accumulation" "yes" "NA" "NA"
"298" "Compound 12" "Study 56" "rat" 26 "4" "day" "stomach" "enlarged adipocytes, adipocyte accumulation" "yes" "NA" "NA"
"299" "Compound 12" "Study 56" "rat" 26 "20" "day" "stomach" "enlarged adipocytes, adipocyte accumulation" "yes" "NA" "NA"
"300" "Compound 12" "Study 56" "rat" 26 "80/40" "day" "stomach" "enlarged adipocytes, adipocyte accumulation" "yes" "NA" "NA"
"301" "Compound 12" "Study 56" "rat" 26 "80/40" "day" "kidney" "adipocyte accumulation" "yes" "NA" "NA"
"302" "Compound 12" "Study 56" "rat" 26 "80/40" "day" "spleen" "extramedullary hematopoiesis" "no" "NA" "NA"
"303" "Compound 12" "Study 57" "cynomolgus" 4 "0.5" "day" "bone marrow" "minimal-hypocellularity, minimal-adipocyte accumulation" "no" "nr" "NA"
"304" "Compound 12" "Study 57" "cynomolgus" 4 "3" "day" "bone marrow" "minimal-hypocellularity, minimal-adipocyte accumulation" "yes" "nr" "NA"
"305" "Compound 12" "Study 57" "cynomolgus" 4 "18" "day" "bone marrow" "minimal-hypocellularity, minimal-adipocyte accumulation" "yes" "nr" "NA"
"306" "Compound 12" "Study 57" "cynomolgus" 4 "3" "day" "skin" "edema" "no" "r" "NA"
"307" "Compound 12" "Study 57" "cynomolgus" 4 "18" "day" "skin" "edema" "no" "r" "NA"
"308" "Compound 12" "Study 57" "cynomolgus" 4 "3" "day" "mesenteric lymph node" "edema" "no" "r" "NA"
"309" "Compound 12" "Study 57" "cynomolgus" 4 "18" "day" "mesenteric lymph node" "edema" "no" "r" "NA"
"310" "Compound 12" "Study 57" "cynomolgus" 4 "3" "day" "liver" "extramedullary hematopoiesis" "yes" "r" "NA"
"311" "Compound 12" "Study 57" "cynomolgus" 4 "18" "day" "liver" "extramedullary hematopoiesis" "yes" "r" "NA"
"312" "Compound 12" "Study 57" "cynomolgus" 4 "0.5" "day" "bladder" "vacuolation" "no" "r" "NA"
"313" "Compound 12" "Study 57" "cynomolgus" 4 "3" "day" "bladder" "vacuolation" "no" "r" "NA"
"314" "Compound 12" "Study 57" "cynomolgus" 4 "18" "day" "bladder" "vacuolation" "no" "r" "NA"
"315" "Compound 12" "Study 57" "cynomolgus" 4 "0.5" "day" "kidney" "pelvic lesions" "no" "r" "NA"
"316" "Compound 12" "Study 57" "cynomolgus" 4 "3" "day" "kidney" "pelvic lesions" "no" "r" "NA"
"317" "Compound 12" "Study 57" "cynomolgus" 4 "18" "day" "kidney" "pelvic lesions" "no" "r" "NA"
"318" "Compound 12" "Study 58" "rat" 4 "0.5" "day" "adipose tissue, brown" "vacuolation, enlarged adipocytes, adipocyte accumulation" "no" "r" "NA"
"319" "Compound 12" "Study 58" "rat" 4 "2" "day" "adipose tissue, brown" "vacuolation, enlarged adipocytes, adipocyte accumulation" "yes" "r" "NA"
"320" "Compound 12" "Study 58" "rat" 4 "10" "day" "adipose tissue, brown" "vacuolation, enlarged adipocytes, adipocyte accumulation" "yes" "r" "NA"
"321" "Compound 12" "Study 58" "rat" 4 "50" "day" "adipose tissue, brown" "vacuolation, enlarged adipocytes, adipocyte accumulation" "yes" "r" "NA"
"322" "Compound 12" "Study 58" "rat" 4 "10" "day" "bone marrow" "adipocyte accumulation, hypocellularity" "yes" "r" "NA"
"323" "Compound 12" "Study 58" "rat" 4 "50" "day" "bone marrow" "adipocyte accumulation, hypocellularity" "yes" "r" "NA"
"324" "Compound 12" "Study 58" "rat" 4 "0.5" "day" "pancreas" "minimal-adipocyte accumulation" "no" "r" "NA"
"325" "Compound 12" "Study 58" "rat" 4 "2" "day" "pancreas" "minimal-adipocyte accumulation" "yes" "r" "NA"
"326" "Compound 12" "Study 58" "rat" 4 "10" "day" "pancreas" "minimal-adipocyte accumulation" "yes" "r" "NA"
"327" "Compound 12" "Study 58" "rat" 4 "50" "day" "pancreas" "minimal-adipocyte accumulation" "yes" "r" "NA"
"328" "Compound 12" "Study 58" "rat" 4 "0.5" "day" "stomach" "minimal-adipocyte accumulation" "no" "r" "NA"
"329" "Compound 12" "Study 58" "rat" 4 "2" "day" "stomach" "minimal-adipocyte accumulation" "yes" "r" "NA"
"330" "Compound 12" "Study 58" "rat" 4 "10" "day" "stomach" "minimal-adipocyte accumulation" "yes" "r" "NA"
"331" "Compound 12" "Study 58" "rat" 4 "50" "day" "stomach" "minimal-adipocyte accumulation" "yes" "r" "NA"
"332" "Compound 12" "Study 58" "rat" 4 "0.5" "day" "parotid gland" "minimal-adipocyte accumulation" "no" "r" "NA"
"333" "Compound 12" "Study 58" "rat" 4 "2" "day" "parotid gland" "minimal-adipocyte accumulation" "yes" "r" "NA"
"334" "Compound 12" "Study 58" "rat" 4 "10" "day" "parotid gland" "minimal-adipocyte accumulation" "yes" "r" "NA"
"335" "Compound 12" "Study 58" "rat" 4 "50" "day" "parotid gland" "minimal-adipocyte accumulation" "yes" "r" "NA"
"336" "Compound 12" "Study 58" "rat" 4 "0.5" "day" "ovary" "minimal-adipocyte accumulation" "no" "r" "NA"
"337" "Compound 12" "Study 58" "rat" 4 "2" "day" "ovary" "minimal-adipocyte accumulation" "yes" "r" "NA"
"338" "Compound 12" "Study 58" "rat" 4 "10" "day" "ovary" "minimal-adipocyte accumulation" "yes" "r" "NA"
"339" "Compound 12" "Study 58" "rat" 4 "50" "day" "ovary" "minimal-adipocyte accumulation" "yes" "r" "NA"
"340" "Compound 12" "Study 58" "rat" 4 "10" "day" "spleen" "extramedullary hematopoiesis" "yes" "r" "NA"
"341" "Compound 12" "Study 58" "rat" 4 "50" "day" "spleen" "extramedullary hematopoiesis" "yes" "r" "NA"
"342" "Compound 13" "Study 60" "rat" 39 "300" "day" "adrenal gland" "mild-cortical hypertrophy" "no" "r" "NA"
"343" "Compound 13" "Study 60" "rat" 39 "300" "day" "lung" "mild-foamy/granular macrophages" "no" "r" "NA"
"344" "Compound 13" "Study 60" "rat" 39 "100" "day" "lung" "mild-foamy/granular macrophages" "no" "r" "NA"
"345" "Compound 13" "Study 61" "rat" 13 "1000" "day" "lung" "foamy/granular macrophages" "yes" "tr" "NA"
"346" "Compound 13" "Study 61" "rat" 13 "1000" "day" "adrenal gland" "cortical foamy/granular macrophages, cortical hypertrophy, cortical vacuolation" "yes" "r" "NA"
"347" "Compound 13" "Study 61" "rat" 13 "300" "day" "adrenal gland" "cortical foamy/granular macrophages, cortical hypertrophy, cortical vacuolation" "yes" "r" "NA"
"348" "Compound 13" "Study 61" "rat" 13 "1000" "day" "spleen" "minimal-decreased hematopoiesis" "no" "r" "NA"
"349" "Compound 13" "Study 63" "rat" 4 "300" "day" "adrenal gland" "minimal-cortical hypertrophy" "no" "r" "NA"
"350" "Compound 13" "Study 63" "rat" 4 "1000" "day" "adrenal gland" "mild-cortical hypertrophy" "yes" "r" "NA"
"351" "Compound 13" "Study 63" "rat" 4 "100" "day" "adrenal gland" "minimal-cortical hypertrophy" "no" "r" "NA"
"352" "Compound 13" "Study 63" "rat" 4 "300" "day" "lung" "minimal-foamy/granular macrophages" "no" "r" "NA"
"353" "Compound 13" "Study 63" "rat" 4 "1000" "day" "lung" "mild-foamy/granular macrophages" "yes" "tr" "NA"
"354" "Compound 13" "Study 63" "rat" 4 "1000" "day" "mesentery" "mild-adipose tissue atrophy" "yes" "r" "NA"
"355" "Compound 13" "Study 64" "dog" 4 "300/200" "day" "thymus gland" "moderate- atrophy" "no" "r" "stress"
"356" "Compound 13" "Study 64" "dog" 4 "300/200" "day" "tonsil" "moderate-lymphoid depletion" "no" "r" "stress"
"357" "Compound 13" "Study 64" "dog" 4 "300/200" "day" "lymph node" "moderate-lymphoid depletion" "no" "r" "stress"
"358" "Compound 14" "Study 66" "cynomolgus" 26 "60-75-90" "day" "kidney" "chronic progressive nephropathy, tubular degeneration/regeneration, tubular dilatation, cast, inflammation, infiltrate" "yes" "r" "NA"
"359" "Compound 14" "Study 67" "rat" 26 "4" "day" "kidney" "tubular degeneration/regeneration" "yes" "r_tr" "NA"
"360" "Compound 14" "Study 67" "rat" 26 "30" "day" "kidney" "tubular degeneration/regeneration, increased pigmentation" "yes" "r_tr" "NA"
"361" "Compound 14" "Study 67" "rat" 26 "100" "day" "kidney" "chronic progressive nephropathy, increased pigmentation" "yes" "r_tr" "NA"
"362" "Compound 14" "Study 67" "rat" 26 "100" "day" "liver" "hepatocyte hypertrophy, multinucleated hepatocytes, hepatocyte pigmentation, hepatocyte apoptosis/single cell necrosis, bile duct hyperplasia, hepatocyte vacuolation, foci" "yes" "r_tr" "NA"
"363" "Compound 14" "Study 67" "rat" 26 "30" "day" "liver" "hepatocyte hypertrophy, multinucleated hepatocytes, hepatocyte pigmentation, hepatocyte apoptosis/single cell necrosis, bile duct hyperplasia, hepatocyte vacuolation, foci" "yes" "r_tr" "NA"
"364" "Compound 14" "Study 67" "rat" 26 "100" "day" "thyroid gland" "follicular hypertrophy" "yes" "r_tr" "NA"
"365" "Compound 14" "Study 67" "rat" 26 "30" "day" "thyroid gland" "follicular hypertrophy" "yes" "r_tr" "secondary"
"366" "Compound 14" "Study 67" "rat" 26 "4" "day" "lung" "foamy/granular macrophages" "yes" "r_tr" "secondary"
"367" "Compound 14" "Study 67" "rat" 26 "30" "day" "lung" "foamy/granular macrophages" "yes" "r_tr" "NA"
"368" "Compound 14" "Study 67" "rat" 26 "100" "day" "lung" "foamy/granular macrophages" "yes" "r_tr" "NA"
"369" "Compound 14" "Study 67" "rat" 26 "4" "day" "salivary gland,sublingual" "vacuolation" "yes" "r_tr" "NA"
"370" "Compound 14" "Study 67" "rat" 26 "30" "day" "salivary gland,sublingual" "vacuolation" "yes" "r_tr" "NA"
"371" "Compound 14" "Study 67" "rat" 26 "100" "day" "salivary gland,sublingual" "vacuolation" "yes" "r_tr" "NA"
"372" "Compound 14" "Study 67" "rat" 26 "4" "day" "tooth" "dysplasia" "yes" "r_tr" "NA"
"373" "Compound 14" "Study 67" "rat" 26 "30" "day" "tooth" "dysplasia" "yes" "r_tr" "NA"
"374" "Compound 14" "Study 67" "rat" 26 "100" "day" "tooth" "dysplasia" "yes" "r_tr" "NA"
"375" "Compound 14" "Study 67" "rat" 26 "0.5" "day" "heart" "brown adipose tissue vacuolation" "no" "r_tr" "NA"
"376" "Compound 14" "Study 67" "rat" 26 "4" "day" "heart" "brown adipose tissue vacuolation" "no" "r_tr" "NA"
"377" "Compound 14" "Study 67" "rat" 26 "30" "day" "heart" "brown adipose tissue vacuolation" "no" "r_tr" "NA"
"378" "Compound 14" "Study 67" "rat" 26 "100" "day" "heart" "brown adipose tissue vacuolation" "no" "r_tr" "NA"
"379" "Compound 14" "Study 67" "rat" 26 "30" "day" "skin" "ulcerative dermatitis" "yes" "r_tr" "NA"
"380" "Compound 14" "Study 67" "rat" 26 "100" "day" "skin" "ulcerative dermatitis" "yes" "r_tr" "NA"
"381" "Compound 14" "Study 68" "cynomolgus" 13 "60-80-100-120" "day" "kidney" "moderate-tubular degeneration/regeneration,minimal-tubular fibrosis" "yes" "NA" "NA"
"382" "Compound 14" "Study 69" "rat" 13 "4" "day" "liver" "slight-hepatocyte hypertrophy" "no" "r" "NA"
"383" "Compound 14" "Study 69" "rat" 13 "28" "day" "liver" "slight-hepatocyte hypertrophy" "yes" "r" "NA"
"384" "Compound 14" "Study 69" "rat" 13 "28" "day" "kidney" "slight-tubular degeneration/regeneration" "no" "r" "NA"
"385" "Compound 14" "Study 71" "cynomolgus" 2 "10" "day" "liver" "hepatocyte hypertrophy" "no" "r" "NA"
"386" "Compound 14" "Study 72" "rat" 4 "25" "day" "liver" "slight-hepatocyte hypertrophy" "no" "r" "NA"
"387" "Compound 14" "Study 72" "rat" 4 "25" "day" "thyroid gland" "follicular hypertrophy" "no" "r" "NA"
"388" "Compound 14" "Study 72" "rat" 4 "100" "day" "liver" "slight-hepatocyte hypertrophy" "no" "r" "NA"
"389" "Compound 14" "Study 72" "rat" 4 "100" "day" "thyroid gland" "follicular hypertrophy" "no" "r" "NA"
"390" "Compound 14" "Study 72" "rat" 4 "100" "day" "adrenal gland" "slight-cortical vacuolation" "no" "r" "NA"
"391" "Compound 14" "Study 72" "rat" 4 "100" "day" "pituitary gland" "pars distalis hypertrophy" "no" "r" "NA"
"392" "Compound 14" "Study 72" "rat" 4 "25" "day" "pituitary gland" "pars distalis hypertrophy" "no" "r" "NA"
"393" "Compound 15" "Study 73" "cynomolgus" 36 "3" "day" "spleen" "hemosiderin" "no" "r" "NA"
"394" "Compound 15" "Study 73" "cynomolgus" 36 "9" "day" "spleen" "hemosiderin" "no" "r" "NA"
"395" "Compound 15" "Study 73" "cynomolgus" 36 "1" "day" "bone marrow" "hemosiderin" "no" "r" "NA"
"396" "Compound 15" "Study 73" "cynomolgus" 36 "3" "day" "bone marrow" "hemosiderin" "no" "r" "NA"
"397" "Compound 15" "Study 73" "cynomolgus" 36 "9" "day" "bone marrow" "hemosiderin" "no" "r" "NA"
"398" "Compound 15" "Study 74" "rat" 26 "3 male/ 1 female" "day" "spleen" "increased hematopoiesis, hemosiderin" "no" "NA" "NA"
"399" "Compound 15" "Study 74" "rat" 26 "10 male/ 3 female" "day" "spleen" "increased hematopoiesis, hemosiderin" "no" "NA" "NA"
"400" "Compound 15" "Study 74" "rat" 26 "30 male/ 10 female" "day" "spleen" "increased hematopoiesis, hemosiderin" "no" "NA" "NA"
"401" "Compound 16" "Study 84" "rat" 4 "200" "day" "pancreas" "mild-exocrine cell apoptosis" "no" "r" "NA"
"402" "Compound 17" "Study 86" "rat" 26 "6 male & 2 female" "day" "spleen" "increased hematopoiesis" "no" "tr" "NA"
"403" "Compound 17" "Study 86" "rat" 26 "18 male & 6 female" "day" "spleen" "increased hematopoiesis" "no" "tr" "NA"
"404" "Compound 17" "Study 86" "rat" 26 "36/24 male & 18/12 female" "day" "spleen" "increased hematopoiesis" "no" "tr" "NA"
"405" "Compound 17" "Study 86" "rat" 26 "6 male & 2 female" "day" "liver" "kupffer cell pigmentation, hemosiderin" "no" "tr" "NA"
"406" "Compound 17" "Study 86" "rat" 26 "18 male & 6 female" "day" "liver" "kupffer cell pigmentation, hemosiderin" "no" "tr" "NA"
"407" "Compound 17" "Study 86" "rat" 26 "36/24 male & 18/12 female" "day" "liver" "kupffer cell pigmentation, hemosiderin" "no" "tr" "NA"
"408" "Compound 17" "Study 86" "rat" 26 "18 male & 6 female" "day" "adrenal gland" "moderate-cotical vacuolation" "no" "r" "NA"
"409" "Compound 17" "Study 86" "rat" 26 "36/24 male & 18/12 female" "day" "adrenal gland" "moderate-cotical vacuolation" "no" "r" "NA"
"410" "Compound 17" "Study 89" "rat" 6 "18 male & 6 female" "day" "adrenal gland" "cotical vacuolation" "yes" "r" "NA"
"411" "Compound 17" "Study 89" "rat" 6 "36 male & 18 female" "day" "adrenal gland" "cotical vacuolation" "yes" "r" "NA"
"412" "Compound 18" "Study 90" "cynomolgus" 52 "0.5" "week" "kidney" "vacuolation, foamy/granular macrophages" "no" "nr" "NA"
"413" "Compound 18" "Study 90" "cynomolgus" 52 "0.5" "week" "pancreas" "vacuolation, foamy/granular macrophages" "no" "nr" "NA"
"414" "Compound 18" "Study 90" "cynomolgus" 52 "0.5" "week" "eye" "vacuolation, foamy/granular macrophages" "no" "nr" "NA"
"415" "Compound 18" "Study 90" "cynomolgus" 52 "0.5" "week" "bladder" "vacuolation, foamy/granular macrophages" "no" "nr" "NA"
"416" "Compound 18" "Study 90" "cynomolgus" 52 "0.5" "week" "knee joint" "vacuolation, foamy/granular macrophages" "no" "nr" "NA"
"417" "Compound 18" "Study 90" "cynomolgus" 52 "0.5" "week" "lymph node" "vacuolation, foamy/granular macrophages" "no" "nr" "NA"
"418" "Compound 18" "Study 90" "cynomolgus" 52 "1.5" "week" "kidney" "vacuolation, foamy/granular macrophages" "no" "nr" "NA"
"419" "Compound 18" "Study 90" "cynomolgus" 52 "1.5" "week" "pancreas" "vacuolation, foamy/granular macrophages" "no" "nr" "NA"
"420" "Compound 18" "Study 90" "cynomolgus" 52 "1.5" "week" "eye" "vacuolation, foamy/granular macrophages" "no" "nr" "NA"
"421" "Compound 18" "Study 90" "cynomolgus" 52 "1.5" "week" "bladder" "vacuolation, foamy/granular macrophages" "no" "nr" "NA"
"422" "Compound 18" "Study 90" "cynomolgus" 52 "1.5" "week" "knee joint" "vacuolation, foamy/granular macrophages" "no" "nr" "NA"
"423" "Compound 18" "Study 90" "cynomolgus" 52 "1.5" "week" "lymph node" "vacuolation, foamy/granular macrophages" "no" "nr" "NA"
"424" "Compound 18" "Study 90" "cynomolgus" 52 "7.5" "week" "kidney" "vacuolation, foamy/granular macrophages" "no" "nr" "NA"
