"study_id" "identifier" "therapeutic_area" "type" "route_of_administration" "species" "duration" "dose" "pre_treatment" "dose_interval" "dose_lethality" "noael" "noael_sex" "adverse_findings" "body_weight" "body_weight_gain" "death_diagnosis" "neurological_clinical_signs" "git_clinical_signs" "other_clinical_signs" "lab_measurements" "macroscopic" "macroscopic_target" "pathology" "organ_weight" "organ_weight_target" "cardiovascular_effects"
"204" "Study 46" "Compound 10" "Neuroscience" "sm" "oral gavage" "rat" 13 "150" "NA" "day" "NA" "no" "NA" "yes" "no" "no" "no" "no" "no" "no" "ayes-na" "no" "no" "yes" "yes-increase-na" "liver" "no"
"205" "Study 46" "Compound 10" "Neuroscience" "sm" "oral gavage" "rat" 13 "500" "NA" "day" "NA" "no" "NA" "yes" "no" "no" "no" "no" "no" "no" "ayes-na" "no" "no" "yes" "yes-increase-na" "liver" "no"
"206" "Study 47" "Compound 10" "Neuroscience" "sm" "oral gavage" "rat" 4 "0" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"207" "Study 47" "Compound 10" "Neuroscience" "sm" "oral gavage" "rat" 4 "50" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"208" "Study 47" "Compound 10" "Neuroscience" "sm" "oral gavage" "rat" 4 "150" "NA" "day" "NA" "yes" "both" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"209" "Study 47" "Compound 10" "Neuroscience" "sm" "oral gavage" "rat" 4 "500" "NA" "day" "NA" "no" "NA" "yes" "no" "no" "no" "no" "no" "no" "no" "no" "no" "ayes" "no" "no" "no"
"210" "Study 48" "Compound 10" "Neuroscience" "sm" "oral gavage" "dog" 4 "0" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"211" "Study 48" "Compound 10" "Neuroscience" "sm" "oral gavage" "dog" 4 "30" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"212" "Study 48" "Compound 10" "Neuroscience" "sm" "oral gavage" "dog" 4 "100" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"213" "Study 48" "Compound 10" "Neuroscience" "sm" "oral gavage" "dog" 4 "300" "NA" "day" "NA" "yes" "both" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"214" "Study 49" "Compound 11" "Cardiovascular and Metabolism" "sm" "subcutaneous" "rat" 26 "0" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"215" "Study 49" "Compound 11" "Cardiovascular and Metabolism" "sm" "subcutaneous" "rat" 26 "0.10000000000000001" "NA" "day" "NA" "no" "NA" "no" "no" "yes-decrease-r" "no" "no" "no" "no" "yes-r" "no" "no" "yes" "yes-decrease-r" "spleen" "no"
"216" "Study 49" "Compound 11" "Cardiovascular and Metabolism" "sm" "subcutaneous" "rat" 26 "0.25" "NA" "day" "NA" "no" "NA" "no" "no" "yes-decrease-r" "no" "yes-abnormal posture-r" "no" "no" "yes-r" "no" "no" "yes" "yes-decrease-r" "spleen" "no"
"217" "Study 49" "Compound 11" "Cardiovascular and Metabolism" "sm" "subcutaneous" "rat" 26 "0.5" "NA" "day" "NA" "yes" "both" "no" "no" "yes-decrease-r" "no" "yes-abnormal posture-r" "no" "yes-morbidity-r" "yes-r" "no" "no" "yes" "yes-decrease-r" "spleen" "no"
"218" "Study 50" "Compound 11" "Cardiovascular and Metabolism" "sm" "subcutaneous" "cynomolgus" 39 "0" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"219" "Study 50" "Compound 11" "Cardiovascular and Metabolism" "sm" "subcutaneous" "cynomolgus" 39 "0.014999999999999999" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "yes-r" "no" "no" "no" "no" "no" "no"
"220" "Study 50" "Compound 11" "Cardiovascular and Metabolism" "sm" "subcutaneous" "cynomolgus" 39 "0.050000000000000003" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "yes-r" "no" "no" "no" "no" "no" "no"
"221" "Study 50" "Compound 11" "Cardiovascular and Metabolism" "sm" "subcutaneous" "cynomolgus" 39 "0.10000000000000001" "NA" "day" "NA" "yes" "both" "no" "yes-decrease-na" "no" "no" "no" "no" "no" "yes-r" "no" "no" "no" "no" "no" "no"
"222" "Study 51" "Compound 11" "Cardiovascular and Metabolism" "sm" "subcutaneous" "rat" 13 "0" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"223" "Study 51" "Compound 11" "Cardiovascular and Metabolism" "sm" "subcutaneous" "rat" 13 "0.29999999999999999" "NA" "day" "NA" "yes" "both" "no" "yes-decrease-r" "yes-decrease-r" "no" "yes-hypoactivity-r" "no" "no" "yes-r" "yes-distension-r" "gastrointestinal tract" "yes" "no" "no" "no"
"224" "Study 51" "Compound 11" "Cardiovascular and Metabolism" "sm" "subcutaneous" "rat" 13 "1" "NA" "day" "NA" "no" "NA" "yes" "yes-decrease-r" "ayes-marked-decrease-r" "no" "yes-hypoactivity-r" "no" "no" "yes-r" "yes-distension-r, yes-discoloration-r, yes-decrease-r, yes-decrease-r" "gastrointestinal tract, lung, seminal vesicle, prostate gland" "ayes" "no" "no" "no"
"225" "Study 51" "Compound 11" "Cardiovascular and Metabolism" "sm" "subcutaneous" "rat" 13 "3" "NA" "day" "NA" "no" "NA" "yes" "yes-decrease-r" "ayes-marked-decrease-r" "no" "yes-hypoactivity-r" "no" "no" "yes-r" "yes-distension-r, yes-decrease-r, yes-discoloration-r, yes-discoloration-r, yes-decrease-r, yes-decrease-r, yes-decrease-r" "gastrointestinal tract, mesenteric adipose tissue, adrenal gland, lung, seminal vesicle, prostate gland, uterus" "ayes" "no" "no" "no"
"226" "Study 52" "Compound 11" "Cardiovascular and Metabolism" "sm" "subcutaneous" "cynomolgus" 8 "0" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"227" "Study 52" "Compound 11" "Cardiovascular and Metabolism" "sm" "subcutaneous" "cynomolgus" 8 "0.050000000000000003" "NA" "day" "NA" "yes" "both" "no" "no" "no" "no" "no" "no" "no" "yes-r" "no" "no" "yes" "yes-decrease-r, yes-decrease-r/secondary" "heart, thymus gland" "no"
"228" "Study 52" "Compound 11" "Cardiovascular and Metabolism" "sm" "subcutaneous" "cynomolgus" 8 "0.3/0.15" "NA" "day" "0.29999999999999999" "no" "NA" "yes" "ayes-decrease-r_tr" "no" "yes" "no" "no" "yes-morbidity-r_tr" "yes-r" "yes-decrease activity-r/secondary, yes-decrease activity-r/secondary" "ovary, uterus" "yes" "yes-decrease-r, yes-decrease-r/secondary, yes-decrease-r/secondary, yes-decrease-r/secondary" "heart,thymus gland,ovary,uterus" "yes-slight- rr interval decrease-r, yes-increased heart rate-r"
"229" "Study 52" "Compound 11" "Cardiovascular and Metabolism" "sm" "subcutaneous" "cynomolgus" 8 "1" "NA" "day" "NA" "no" "NA" "yes" "ayes-decrease-r_tr" "no" "yes" "no" "no" "yes-morbidity-r_tr" "yes-r" "yes-decrease activity-r/secondary, yes-decrease activity-r/secondary" "ovary, uterus" "yes" "yes-decrease-r, yes-decrease-nr/secondary, yes-decrease-r/secondary, yes-decrease-r/secondary" "heart,thymus gland,ovary,uterus" "yes-slight- rr interval decrease-r, yes-increased heart rate-r"
"230" "Study 53" "Compound 11" "Cardiovascular and Metabolism" "sm" "subcutaneous" "mouse" 4 "0" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"231" "Study 53" "Compound 11" "Cardiovascular and Metabolism" "sm" "subcutaneous" "mouse" 4 "0.10000000000000001" "NA" "day" "NA" "no" "NA" "no" "yes-decrease-r" "yes-decrease-r" "no" "no" "no" "no" "no" "yes-distension-r/secondary" "gall bladder" "yes" "no" "no" "no"
"232" "Study 53" "Compound 11" "Cardiovascular and Metabolism" "sm" "subcutaneous" "mouse" 4 "0.29999999999999999" "NA" "day" "NA" "no" "NA" "no" "yes-decrease-r" "yes-decrease-r" "no" "no" "no" "no" "no" "yes-distension-r/secondary" "gall bladder" "yes" "no" "no" "no"
"233" "Study 53" "Compound 11" "Cardiovascular and Metabolism" "sm" "subcutaneous" "mouse" 4 "1" "NA" "day" "NA" "yes" "both" "no" "yes-decrease-r" "yes-decrease-r" "no" "no" "no" "no" "no" "yes-distension-r/secondary" "gall bladder" "yes" "no" "no" "no"
"234" "Study 54" "Compound 12" "Cardiovascular and Metabolism" "sm" "oral gavage" "cynomolgus" 52 "0" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"235" "Study 54" "Compound 12" "Cardiovascular and Metabolism" "sm" "oral gavage" "cynomolgus" 52 "0.29999999999999999" "NA" "day" "NA" "yes" "both" "no" "no" "no" "no" "no" "no" "yes-face edema-r, yes-edema-r, yes-skin thickening-na" "yes-r" "yes-effusions-na" "abdomen" "yes" "no" "no" "no"
"236" "Study 54" "Compound 12" "Cardiovascular and Metabolism" "sm" "oral gavage" "cynomolgus" 52 "3" "NA" "day" "NA" "no" "NA" "yes" "no" "yes-increase-na" "no" "no" "no" "yes-face edema-r,yes-edema-r,yes-skin thickening-na" "yes-r" "yes-effusions-na, yes-increase-na" "heart, thyroid gland" "ayes" "yes-increase-tr, yes-increase-tr, yes-increase-tr, yes-increase-tr, yes-increase-tr, yes-increase-tr, yes-decrease-tr" "heart,liver,kidney,thyroid gland,spleen,adrenal gland,ovary" "no"
"237" "Study 54" "Compound 12" "Cardiovascular and Metabolism" "sm" "oral gavage" "cynomolgus" 52 "10" "NA" "day" "NA" "no" "NA" "yes" "no" "yes-increase-na" "no" "no" "no" "yes-severe-face edema-na,yes-severe-edema-r,yes-skin thickening-na" "yes-na" "yes-effusions-na, yes-discoloration-na, yes-increase-na, yes-discoloration-na, yes-increase-na" "heart, heart, kidney, kidney, thyroid gland" "ayes" "yes-increase-na, yes-increase-na, yes-increase-na, yes-increase-na, yes-increase-na, yes-increase-na, yes-decrease-na" "heart,liver,kidney,thyroid gland,spleen,adrenal gland,ovary" "no"
"238" "Study 55" "Compound 12" "Cardiovascular and Metabolism" "sm" "oral gavage" "cynomolgus" 52 "0" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"239" "Study 55" "Compound 12" "Cardiovascular and Metabolism" "sm" "oral gavage" "cynomolgus" 52 "0.14999999999999999" "NA" "day" "NA" "yes" "both" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "yes" "no" "no" "no"
"240" "Study 55" "Compound 12" "Cardiovascular and Metabolism" "sm" "oral gavage" "cynomolgus" 52 "0.40000000000000002" "NA" "day" "NA" "no" "NA" "yes" "no" "no" "no" "no" "no" "ayes-face edema-r, ayes-skin thickening-r" "no" "ayes-hyperemia-na" "tarsus bone" "ayes" "ayes-increase-r" "liver" "no"
"241" "Study 55" "Compound 12" "Cardiovascular and Metabolism" "sm" "oral gavage" "cynomolgus" 52 "1.5" "NA" "day" "NA" "no" "NA" "yes" "no" "no" "no" "no" "no" "ayes-face edema-r,ayes-skin thickening-r" "no" "ayes-hyperemia-na" "tarsus bone" "ayes" "ayes-increase-r, ayes-increase-r, ayes-increase-r" "liver, heart,spleen" "no"
"242" "Study 55" "Compound 12" "Cardiovascular and Metabolism" "sm" "oral gavage" "cynomolgus" 52 "5" "NA" "day" "NA" "no" "NA" "yes" "no" "no" "no" "no" "no" "ayes-face edema-r,ayes-skin thickening-r" "no" "ayes-effusions-nr, ayes-hyperemia-na" "abdomen,tarsus bone" "ayes" "ayes-increase-r, ayes-increase-r, ayes-increase-r" "liver, heart,spleen" "no"
"243" "Study 56" "Compound 12" "Cardiovascular and Metabolism" "sm" "oral gavage" "rat" 26 "0" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"244" "Study 56" "Compound 12" "Cardiovascular and Metabolism" "sm" "oral gavage" "rat" 26 "0.5" "NA" "day" "NA" "yes" "both" "yes" "no" "no" "no" "no" "no" "no" "yes-r" "no" "no" "yes" "no" "no" "no"
"245" "Study 56" "Compound 12" "Cardiovascular and Metabolism" "sm" "oral gavage" "rat" 26 "4" "NA" "day" "NA" "no" "NA" "yes" "no" "no" "no" "no" "no" "no" "yes-r" "ayes-increased adipose tissue-tr, ayes-increased adipose tissue-tr, ayes-increased adipose tissue-tr, ayes-abnormal shape_surface-tr" "neck, flank, axillary, heart" "ayes" "yes-increase-tr" "heart" "no"
"246" "Study 56" "Compound 12" "Cardiovascular and Metabolism" "sm" "oral gavage" "rat" 26 "20" "NA" "day" "NA" "no" "NA" "yes" "yes-slight-increase-tr" "no" "yes" "no" "no" "yes-irregular respiration-na, yes-morbidity-na, yes-abnormal haircoat-na" "yes-r" "ayes-increased adipose tissue-tr, ayes-increased adipose tissue-tr, ayes-increased adipose tissue-tr, ayes-abnormal shape_surface-tr" "neck, flank, axillary, heart" "ayes" "yes-increase-tr" "heart" "no"
"247" "Study 56" "Compound 12" "Cardiovascular and Metabolism" "sm" "oral gavage" "rat" 26 "80/40" "NA" "day" "80" "no" "NA" "yes" "yes-slight-increase-tr" "no" "yes" "no" "no" "yes-irregular respiration-na, yes-morbidity-na, yes-abnormal haircoat-na" "yes-r" "ayes-increased adipose tissue-tr, ayes-increased adipose tissue-tr, ayes-increased adipose tissue-tr, ayes-abnormal shape_surface-tr" "neck, flank, axillary, heart" "ayes" "yes-increase-tr" "heart" "no"
"248" "Study 57" "Compound 12" "Cardiovascular and Metabolism" "sm" "oral gavage" "cynomolgus" 4 "0" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"249" "Study 57" "Compound 12" "Cardiovascular and Metabolism" "sm" "oral gavage" "cynomolgus" 4 "0.5" "NA" "day" "NA" "yes" "both" "no" "no" "no" "no" "no" "no" "yes-edema-r" "yes-r" "no" "no" "yes" "no" "no" "no"
"250" "Study 57" "Compound 12" "Cardiovascular and Metabolism" "sm" "oral gavage" "cynomolgus" 4 "3" "NA" "day" "NA" "no" "NA" "yes" "no" "yes-increase-r" "no" "no" "no" "yes-edema-r" "yes-r" "yes-effusions-r, yes-effusions-r" "abdomen, pleural cavities" "ayes" "no" "no" "no"
"251" "Study 57" "Compound 12" "Cardiovascular and Metabolism" "sm" "oral gavage" "cynomolgus" 4 "18" "NA" "day" "NA" "no" "NA" "yes" "no" "yes-increase-r" "no" "no" "no" "yes-edema-r" "yes-r" "yes-effusions-r, yes-effusions-r" "abdomen, pleural cavities" "ayes" "no" "no" "no"
"252" "Study 58" "Compound 12" "Cardiovascular and Metabolism" "sm" "oral gavage" "rat" 4 "0" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"253" "Study 58" "Compound 12" "Cardiovascular and Metabolism" "sm" "oral gavage" "rat" 4 "0.5" "NA" "day" "NA" "yes" "both" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "yes" "no" "no" "no"
"254" "Study 58" "Compound 12" "Cardiovascular and Metabolism" "sm" "oral gavage" "rat" 4 "2" "NA" "day" "NA" "no" "NA" "yes" "no" "yes-mild-increase-r" "no" "no" "no" "no" "yes-r" "ayes-increase-tr, yes-discoloration-tr" "brown adipose tissue, brown adipose tissue" "ayes" "yes-slight-increase-tr" "heart" "no"
"255" "Study 58" "Compound 12" "Cardiovascular and Metabolism" "sm" "oral gavage" "rat" 4 "10" "NA" "day" "NA" "no" "NA" "yes" "no" "yes-mild-increase-r" "no" "no" "no" "no" "yes-r" "ayes-increase-tr, yes-discoloration-tr" "brown adipose tissue, brown adipose tissue" "ayes" "yes-slight-increase-tr" "heart" "no"
"256" "Study 58" "Compound 12" "Cardiovascular and Metabolism" "sm" "oral gavage" "rat" 4 "50" "NA" "day" "NA" "no" "NA" "yes" "no" "yes-mild-increase-r" "no" "no" "no" "no" "yes-r" "ayes-increase-tr, yes-discoloration-tr" "brown adipose tissue, brown adipose tissue" "ayes" "yes-slight-increase-tr, yes-slight-increase-r, yes-slight-decrease-r" "heart,liver,ovary" "no"
"257" "Study 59" "Compound 13" "Cardiovascular and Metabolism" "sm" "oral gavage" "cynomolgus" 39 "0" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"258" "Study 59" "Compound 13" "Cardiovascular and Metabolism" "sm" "oral gavage" "cynomolgus" 39 "10" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "yes-salivation-r" "no" "no" "no" "no" "no" "no" "no" "no"
"259" "Study 59" "Compound 13" "Cardiovascular and Metabolism" "sm" "oral gavage" "cynomolgus" 39 "30" "NA" "day" "NA" "yes" "both" "no" "no" "no" "no" "no" "yes-salivation-r" "no" "no" "no" "no" "no" "no" "no" "no"
"260" "Study 59" "Compound 13" "Cardiovascular and Metabolism" "sm" "oral gavage" "cynomolgus" 39 "100" "NA" "day" "NA" "no" "NA" "yes" "no" "yes-decrease-r" "no" "no" "yes-salivation-r" "yes-skin thickening-r" "ayes-r" "ayes-prolonged persistence of injuries-r" "tail" "no" "yes-increase-r" "liver" "no"
"261" "Study 60" "Compound 13" "Cardiovascular and Metabolism" "sm" "oral gavage" "rat" 39 "0" "NA" "day" "NA" "no" "yes" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"262" "Study 60" "Compound 13" "Cardiovascular and Metabolism" "sm" "oral gavage" "rat" 39 "30" "NA" "day" "NA" "no" "yes" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"263" "Study 60" "Compound 13" "Cardiovascular and Metabolism" "sm" "oral gavage" "rat" 39 "100" "NA" "day" "NA" "yes" "both" "no" "no" "no" "no" "no" "no" "yes-skin lesions-r" "no" "no" "no" "yes" "no" "no" "no"
"264" "Study 60" "Compound 13" "Cardiovascular and Metabolism" "sm" "oral gavage" "rat" 39 "300" "NA" "day" "NA" "no" "yes" "yes" "no" "yes-slight-decrease-r" "no" "no" "no" "yes-skin lesions-r" "yes-na" "no" "no" "yes" "no" "no" "no"
"265" "Study 61" "Compound 13" "Cardiovascular and Metabolism" "sm" "oral gavage" "rat" 13 "0" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"266" "Study 61" "Compound 13" "Cardiovascular and Metabolism" "sm" "oral gavage" "rat" 13 "100" "NA" "day" "NA" "yes" "both" "no" "no" "no" "no" "no" "no" "yes-skin lesions-r" "no" "no" "no" "no" "no" "no" "no"
"267" "Study 61" "Compound 13" "Cardiovascular and Metabolism" "sm" "oral gavage" "rat" 13 "300" "NA" "day" "NA" "no" "NA" "yes" "no" "no" "no" "no" "yes-salivation-r" "yes-skin lesions-r" "yes-r" "no" "no" "ayes" "no" "no" "no"
"268" "Study 61" "Compound 13" "Cardiovascular and Metabolism" "sm" "oral gavage" "rat" 13 "1000" "NA" "day" "NA" "no" "NA" "yes" "yes-decrease-tr" "yes-decrease-tr" "no" "yes-abnormal gait-r, yes-abnormal posture-r" "yes-salivation-r" "yes-skin lesions-r" "yes-r" "yes-discoloration-na" "lung" "ayes" "yes-decrease-r, yes-increase-r, yes-increase-r" "spleen,kidney,liver" "no"
"269" "Study 62" "Compound 13" "Cardiovascular and Metabolism" "sm" "oral gavage" "cynomolgus" 13 "0" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"270" "Study 62" "Compound 13" "Cardiovascular and Metabolism" "sm" "oral gavage" "cynomolgus" 13 "10" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"271" "Study 62" "Compound 13" "Cardiovascular and Metabolism" "sm" "oral gavage" "cynomolgus" 13 "30" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"272" "Study 62" "Compound 13" "Cardiovascular and Metabolism" "sm" "oral gavage" "cynomolgus" 13 "100" "NA" "day" "NA" "yes" "both" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "yes-minimal-increase-na" "liver" "no"
"273" "Study 63" "Compound 13" "Cardiovascular and Metabolism" "sm" "oral gavage" "rat" 4 "0" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"274" "Study 63" "Compound 13" "Cardiovascular and Metabolism" "sm" "oral gavage" "rat" 4 "100" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "yes" "no" "no" "no"
"275" "Study 63" "Compound 13" "Cardiovascular and Metabolism" "sm" "oral gavage" "rat" 4 "300" "NA" "day" "NA" "yes" "both" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "yes" "no" "no" "no"
"276" "Study 63" "Compound 13" "Cardiovascular and Metabolism" "sm" "oral gavage" "rat" 4 "1000" "NA" "day" "NA" "no" "NA" "yes" "no" "yes-decrease-r" "no" "no" "no" "no" "no" "no" "no" "ayes" "no" "no" "no"
"277" "Study 64" "Compound 13" "Cardiovascular and Metabolism" "sm" "oral" "dog" 4 "0" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"278" "Study 64" "Compound 13" "Cardiovascular and Metabolism" "sm" "oral" "dog" 4 "30" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"279" "Study 64" "Compound 13" "Cardiovascular and Metabolism" "sm" "oral" "dog" 4 "100" "NA" "day" "NA" "yes" "both" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "yes-slight-increased heart rate-r"
"280" "Study 64" "Compound 13" "Cardiovascular and Metabolism" "sm" "oral" "dog" 4 "300/200" "NA" "day" "300(marked decrease in body weight and feed consumption accompanied by slight diarrhea)" "no" "NA" "yes" "yes-marked-decrease-r" "no" "no" "no" "yes-slight-diarrhea-r" "no" "no" "no" "no" "yes" "yes-slight-increase-r, yes-slight-increase-r, yes-decrease-r" "liver,kidney,thymus gland" "ayes-slight-increased heart rate-r"
"281" "Study 65" "Compound 14" "Neuroscience" "sm" "oral gavage" "cynomolgus" 39 "0" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"282" "Study 65" "Compound 14" "Neuroscience" "sm" "oral gavage" "cynomolgus" 39 "5" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"283" "Study 65" "Compound 14" "Neuroscience" "sm" "oral gavage" "cynomolgus" 39 "20" "NA" "day" "NA" "yes" "both" "no" "no" "no" "no" "ayes-severe-abnormal gait-r, ayes-severe-hypoactivity-r, ayes-severe-tremor-r" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"284" "Study 65" "Compound 14" "Neuroscience" "sm" "oral gavage" "cynomolgus" 39 "60-75-90-70" "NA" "day" "NA" "no" "NA" "yes" "no" "no" "yes" "yes-abnormal gait-r, yes-hypoactivity-r,yes-tremor-r" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"285" "Study 66" "Compound 14" "Neuroscience" "sm" "oral gavage" "cynomolgus" 26 "0" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"286" "Study 66" "Compound 14" "Neuroscience" "sm" "oral gavage" "cynomolgus" 26 "5" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"287" "Study 66" "Compound 14" "Neuroscience" "sm" "oral gavage" "cynomolgus" 26 "20" "NA" "day" "NA" "yes" "both" "no" "no" "no" "no" "yes-hypoactivity-r,yes-abnormal posture-r, yes-abnormal gait-r" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"288" "Study 66" "Compound 14" "Neuroscience" "sm" "oral gavage" "cynomolgus" 26 "60-75-90" "NA" "day" "NA" "no" "NA" "yes" "no" "no" "no" "ayes-abnormal gait-r, ayes-abnormal posture-r, ayes-hypoactivity-r,ayes-tremor-r" "no" "no" "yes-r" "no" "no" "ayes" "no" "no" "no"
"289" "Study 67" "Compound 14" "Neuroscience" "sm" "oral gavage" "rat" 26 "0" "NA" "day" "NA" "yes" "both" "no" "no" "no" "no" "no" "no" "no" NA "no" "no" "no" "no" "no" "no"
"290" "Study 67" "Compound 14" "Neuroscience" "sm" "oral gavage" "rat" 26 "0.5" "NA" "day" "NA" "no" "NA" "yes" "no" "no" "no" "no" "no" "ayes-skin lesions-r_tr, ayes-abnormal haircoat-r_tr" "yes-na" "no" "no" "yes" "no" "no" "no"
"291" "Study 67" "Compound 14" "Neuroscience" "sm" "oral gavage" "rat" 26 "4" "NA" "day" "NA" "no" "NA" "yes" "no" "no" "no" "no" "no" "ayes-skin lesions-r_tr, ayes-abnormal haircoat-r_tr" "ayes-na" "ayes-discoloration-r_tr" "lung" "ayes" "no" "no" "no"
"292" "Study 67" "Compound 14" "Neuroscience" "sm" "oral gavage" "rat" 26 "30" "NA" "day" "NA" "no" "NA" "yes" "no" "ayes-decrease-r" "no" "no" "no" "ayes-skin lesions-r_tr, ayes-abnormal haircoat-r_tr" "ayes-na" "ayes-discoloration-r_tr, ayes-discoloration-r_tr, ayes-increase-r_tr, ayes-discoloration-r_tr, ayes-increase-r_tr, ayes-discoloration-r_tr" "kidney, liver, liver, thyroid gland, thyroid gland, lung" "ayes" "ayes-increase-r_tr, ayes-increase-r_tr" "kidney,liver" "no"
"293" "Study 67" "Compound 14" "Neuroscience" "sm" "oral gavage" "rat" 26 "100" "NA" "day" "NA" "no" "NA" "yes" "no" "ayes-decrease-r" "yes" "ayes-convulsions-na" "no" "ayes-skin lesions-r_tr, ayes-abnormal haircoat-r_tr" "ayes-na" "ayes-discoloration-r_tr, ayes-discoloration-r_tr, ayes-increase-r_tr, ayes-discoloration-r_tr, ayes-increase-r_tr, ayes-discoloration-r_tr" "kidney, liver, liver, thyroid gland, thyroid gland, lung" "ayes" "ayes-increase-r_tr, ayes-increase-r_tr, ayes-increase-r_tr" "kidney,liver,thyroid gland" "no"
"294" "Study 68" "Compound 14" "Neuroscience" "sm" "oral gavage" "cynomolgus" 13 "0" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"295" "Study 68" "Compound 14" "Neuroscience" "sm" "oral gavage" "cynomolgus" 13 "10" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "yes-abnormal gait-na,yes-hypoactivity-na" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"296" "Study 68" "Compound 14" "Neuroscience" "sm" "oral gavage" "cynomolgus" 13 "60" "NA" "day" "NA" "yes" "both" "no" "no" "no" "no" "yes-abnormal gait-na,yes-hypoactivity-na" "no" "no" "no" "no" "no" "no" "no" "no" "no"
